Date,Race Number,Place,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declare. Horse Wt.,Draw,LBW,Running Position,Finish Time,Win Odds
23/10/2019,5,3,7,LITTLE THUNDERLITTLE THUNDER(C453),A DomeyerA Domeyer,A T MillardA T Millard,123,1105,12,1-1/4,"['3', '3', '3']",1:10.25,10
23/10/2019,5,4,3,ALL WONGCHOYALL WONGCHOY(C278),B ShinnB Shinn,C S ShumC S Shum,130,1125,3,1-1/2,"['5', '5', '4']",1:10.27,2.4
23/10/2019,5,5,4,GOLDEN GLORYGOLDEN GLORY(T076),K C LeungK C Leung,K H TingK H Ting,126,1085,4,2,"['6', '7', '5']",1:10.33,9.5
23/10/2019,5,6,12,KANBEKI MOLLYKANBEKI MOLLY(C256),M F PoonM F Poon,P F YiuP F Yiu,113,1036,1,3-1/4,"['4', '4', '6']",1:10.54,14
23/10/2019,5,7,8,SUPREME PLUSSUPREME PLUS(C252),C SchofieldC Schofield,F C LorF C Lor,123,1108,7,3-1/2,"['8', '6', '7']",1:10.58,21
23/10/2019,5,8,9,LUCKY GUYLUCKY GUY(T349),Z PurtonZ Purton,C H YipC H Yip,122,1234,8,3-1/2,"['11', '10', '8']",1:10.60,5.8
23/10/2019,5,9,10,NICE FANDANGONICE FANDANGO(A209),G van NiekerkG van Niekerk,C FownesC Fownes,120,1108,11,4,"['1', '1', '9']",1:10.67,29
23/10/2019,5,10,5,SUNNY DRAGONSUNNY DRAGON(V412),M L YeungM L Yeung,R GibsonR Gibson,125,1203,9,5,"['7', '9', '10']",1:10.83,26
23/10/2019,5,11,11,DR LUCKY STARDR LUCKY STAR(C335),M ChadwickM Chadwick,D J HallD J Hall,115,1054,5,7-3/4,"['10', '11', '11']",1:11.27,60
23/10/2019,5,WV-A,2,ORIENTAL ELITEORIENTAL ELITE(A282),K TeetanK Teetan,P O'SullivanP O'Sullivan,132,---,---,---,---,---,---
23/10/2019,6,1,3,HAPPY TIMEHAPPY TIME(B272),Z PurtonZ Purton,W Y SoW Y So,131,1158,4,-,"['2', '2', '1']",1:09.67,2.1
23/10/2019,6,2,5,SHOUSONSHOUSON(C326),N CallanN Callan,J MooreJ Moore,127,1107,5,1-1/4,"['5', '3', '2']",1:09.87,14
23/10/2019,6,3,6,METHANEMETHANE(C469),L HewitsonL Hewitson,D E FerrarisD E Ferraris,125,1093,6,2,"['7', '6', '3']",1:10.00,102
23/10/2019,6,4,2,SPLIT OF A SECONDSPLIT OF A SECOND(B027),M F PoonM F Poon,L HoL Ho,131,1094,9,2-1/2,"['10', '9', '4']",1:10.06,21
23/10/2019,6,5,4,SHAMPORTSHAMPORT(B167),C SchofieldC Schofield,C FownesC Fownes,127,1077,1,3-1/4,"['4', '4', '5']",1:10.17,5.3
23/10/2019,6,6,10,DOR DORDOR DOR(C109),U RispoliU Rispoli,J SizeJ Size,122,1033,10,4-3/4,"['9', '10', '6']",1:10.42,33
23/10/2019,6,7,12,GENERAL TRUMPGENERAL TRUMP(B394),M L YeungM L Yeung,T P YungT P Yung,115,1080,11,5,"['12', '12', '7']",1:10.46,49
23/10/2019,6,8,11,THE SHOWTHE SHOW(T256),H N WongH N Wong,C W ChangC W Chang,118,1112,7,5,"['11', '11', '8']",1:10.46,120
23/10/2019,6,9,8,BULB ELITEBULB ELITE(A183),T H SoT H So,C H YipC H Yip,121,1179,8,6,"['8', '8', '9']",1:10.63,22
23/10/2019,6,10,7,PRESIDENT STARPRESIDENT STAR(C170),M ChadwickM Chadwick,C S ShumC S Shum,125,1055,3,6-3/4,"['6', '7', '10']",1:10.76,77
23/10/2019,6,11,1,SPEEDY LUCKSPEEDY LUCK(C144),J MoreiraJ Moreira,P F YiuP F Yiu,133,1190,2,7-1/4,"['1', '1', '11']",1:10.82,4
23/10/2019,6,12,9,BULLISH BROTHERBULLISH BROTHER(C034),K TeetanK Teetan,A S CruzA S Cruz,123,1104,12,8-1/4,"['3', '5', '12']",1:11.01,17
23/10/2019,7,1,12,JOLLY HONOURJOLLY HONOUR(C080),G van NiekerkG van Niekerk,Y S TsuiY S Tsui,117,1033,7,-,"['7', '8', '7', '1']",1:39.58,15
23/10/2019,7,2,11,SURREALISMSURREALISM(C285),R BaylissR Bayliss,D E FerrarisD E Ferraris,120,1083,8,N,"['10', '10', '10', '2']",1:39.62,159
23/10/2019,7,3,6,RELIABLE TEAMRELIABLE TEAM(C345),Z PurtonZ Purton,F C LorF C Lor,125,1140,6,2,"['2', '4', '4', '3']",1:39.92,2.6
23/10/2019,7,4,5,JADE FORTUNEJADE FORTUNE(V020),K C LeungK C Leung,K L ManK L Man,126,1118,4,3-1/2,"['8', '7', '9', '4']",1:40.13,30
23/10/2019,7,5,9,SUMSTREETSUMWHERESUMSTREETSUMWHERE(B283),B ShinnB Shinn,L HoL Ho,122,1066,5,3-1/2,"['5', '6', '3', '5']",1:40.15,6.7
23/10/2019,7,6,1,COT CAMPBELLCOT CAMPBELL(C298),A DomeyerA Domeyer,A T MillardA T Millard,133,1067,9,3-1/2,"['11', '11', '8', '6']",1:40.16,5.9
23/10/2019,7,7,8,BIG BANG BONGBIG BANG BONG(V186),C SchofieldC Schofield,C W ChangC W Chang,123,1095,11,3-1/2,"['3', '2', '1', '7']",1:40.16,34
23/10/2019,7,8,3,SARRISARRI(C196),N CallanN Callan,C FownesC Fownes,127,1051,2,4-3/4,"['6', '5', '6', '8']",1:40.34,6.4
23/10/2019,7,9,10,MONSTER KAKAMONSTER KAKA(B319),J MoreiraJ Moreira,D J HallD J Hall,121,1023,10,5-1/2,"['12', '12', '12', '9']",1:40.45,10
23/10/2019,7,10,4,HIGH VOLATILITYHIGH VOLATILITY(V081),A SannaA Sanna,K W LuiK W Lui,126,1152,1,5-3/4,"['9', '9', '11', '10']",1:40.50,15
23/10/2019,7,11,7,GO GO FIRSTGO GO FIRST(B205),M ChadwickM Chadwick,P F YiuP F Yiu,124,1122,12,7-1/4,"['4', '1', '2', '11']",1:40.76,75
23/10/2019,7,12,2,CALIFORNIA ARGENTCALIFORNIA ARGENT(C042),K TeetanK Teetan,A S CruzA S Cruz,130,1126,3,9-1/2,"['1', '3', '5', '12']",1:41.11,20
23/10/2019,7,WV,,MERRYGOWINMERRYGOWIN(V396),H N WongH N Wong,P O'SullivanP O'Sullivan,116,---,---,---,---,---,---
23/10/2019,8,1,5,LE TERROIRLE TERROIR(B403),J MoreiraJ Moreira,L HoL Ho,129,1128,1,-,"['1', '1', '1']",1:09.72,1.7
23/10/2019,8,2,7,FIRST RESPONDERFIRST RESPONDER(C205),N CallanN Callan,J MooreJ Moore,126,1127,6,1,"['4', '5', '2']",1:09.89,11
23/10/2019,8,3,1,BREEDERS' STARBREEDERS' STAR(V197),K TeetanK Teetan,D E FerrarisD E Ferraris,133,1169,2,2-3/4,"['3', '3', '3']",1:10.18,10
23/10/2019,8,4,3,SMART LEADERSMART LEADER(B456),B ShinnB Shinn,A S CruzA S Cruz,132,1144,4,3-1/4,"['7', '6', '4']",1:10.23,10
23/10/2019,8,5,9,MONKEY JEWELLERYMONKEY JEWELLERY(B378),M ChadwickM Chadwick,J SizeJ Size,123,1088,11,3-3/4,"['6', '4', '5']",1:10.33,20
23/10/2019,8,6,4,JADE THEATREJADE THEATRE(A040),K C LeungK C Leung,K L ManK L Man,131,1087,9,4,"['11', '11', '6']",1:10.36,69
23/10/2019,8,7,2,JUMBO HAPPINESSJUMBO HAPPINESS(V315),Z PurtonZ Purton,C FownesC Fownes,132,1147,3,4-1/2,"['8', '8', '7']",1:10.46,6.7
23/10/2019,8,8,8,HARRIER JETHARRIER JET(T372),A DomeyerA Domeyer,P O'SullivanP O'Sullivan,125,1145,12,5,"['10', '9', '8']",1:10.51,25
23/10/2019,8,9,11,SKYEY SUPREMESKYEY SUPREME(C293),M F PoonM F Poon,K W LuiK W Lui,120,1229,7,5,"['9', '10', '9']",1:10.52,61
23/10/2019,8,10,12,WON WON TOOWON WON TOO(C164),H T MoH T Mo,C H YipC H Yip,114,1064,10,6,"['12', '12', '10']",1:10.68,176
23/10/2019,8,11,6,GREEN MOUNTAINGREEN MOUNTAIN(C448),G van NiekerkG van Niekerk,C S ShumC S Shum,127,1115,8,6-1/2,"['2', '2', '11']",1:10.75,13
23/10/2019,8,12,10,ARDENODEARDENODE(B145),T H SoT H So,W Y SoW Y So,120,1068,5,6-3/4,"['5', '7', '12']",1:10.81,127
23/10/2019,9,1,5,SPEEDY KINGSPEEDY KING(A391),A SannaA Sanna,P F YiuP F Yiu,127,1113,2,-,"['6', '7', '1']",1:09.25,51
23/10/2019,9,2,12,SUPER TURBOSUPER TURBO(V310),M F PoonM F Poon,D J HallD J Hall,115,1041,10,SH,"['12', '11', '2']",1:09.26,42
23/10/2019,9,3,1,YEE CHEONG BABYYEE CHEONG BABY(C273),Z PurtonZ Purton,K H TingK H Ting,133,1202,1,1-1/4,"['2', '2', '3']",1:09.44,1.5
23/10/2019,9,4,3,TORNADO TWISTTORNADO TWIST(C028),J MoreiraJ Moreira,J SizeJ Size,128,1117,5,1-1/4,"['7', '9', '4']",1:09.45,6.4
23/10/2019,9,5,6,WALDORFWALDORF(B253),K TeetanK Teetan,A S CruzA S Cruz,124,1088,8,2-3/4,"['10', '10', '5']",1:09.68,21
23/10/2019,9,6,9,CUE THE MUSICCUE THE MUSIC(C495),L HewitsonL Hewitson,D E FerrarisD E Ferraris,118,1154,3,3,"['4', '4', '6']",1:09.72,20
